Wall time,Step,Value
1743548019.800918,6187008,-95.76533508300781
1743548029.051716,6207488,-96.41505432128906
1743548038.5856042,6227968,-99.21569061279297
1743548048.061853,6248448,-99.0694351196289
1743548058.278004,6268928,-100.20915985107422
1743548068.178294,6289408,-98.13932037353516
1743548078.097894,6309888,-91.3946533203125
1743548087.603534,6330368,-87.66293334960938
1743548096.7358878,6350848,-89.09559631347656
1743548106.661026,6371328,-88.45853424072266
1743548116.274698,6391808,-85.36829376220703
1743548125.732666,6412288,-87.46598815917969
1743548135.178561,6432768,-87.93667602539062
1743548144.413162,6453248,-87.368896484375
1743548153.9231281,6473728,-88.42619323730469
1743548163.123307,6494208,-89.77903747558594
1743548172.194135,6514688,-95.45756530761719
1743548181.4100711,6535168,-100.56578063964844
1743548190.407889,6555648,-105.10111999511719
1743548199.560968,6576128,-107.77894592285156
1743548209.158893,6596608,-105.1875
1743548218.942556,6617088,-100.82518768310547
1743548228.364537,6637568,-100.17505645751953
1743548237.601001,6658048,-99.79556274414062
1743548246.9868522,6678528,-101.36844635009766
1743548256.104426,6699008,-102.19554901123047
1743548265.444704,6719488,-102.7281494140625
1743548274.975347,6739968,-100.98470306396484
1743548284.173239,6760448,-98.97479248046875
1743548293.661349,6780928,-98.92686462402344
1743548303.33735,6801408,-94.21759033203125
1743548312.9502861,6821888,-95.1088638305664
1743548322.448988,6842368,-98.7368392944336
1743548332.305929,6862848,-98.31434631347656
1743548341.754896,6883328,-97.02998352050781
1743548351.4611928,6903808,-95.84449768066406
1743548360.8473668,6924288,-93.58790588378906
1743548370.391409,6944768,-92.45050048828125
1743548379.843379,6965248,-91.89784240722656
1743548389.251533,6985728,-92.53836059570312
1743548398.570548,7006208,-91.03225708007812
1743548407.640343,7026688,-89.3957290649414
1743548417.224158,7047168,-88.61865997314453
1743548426.8169112,7067648,-90.17355346679688
1743548436.25044,7088128,-93.3449478149414
1743548445.606566,7108608,-98.35540771484375
1743548455.321214,7129088,-101.97669219970703
1743548465.04564,7149568,-105.52464294433594
1743548474.479083,7170048,-104.00141906738281
1743548483.260502,7190528,-103.77983856201172
1743548492.284791,7211008,-99.49372863769531
1743548501.5911229,7231488,-103.4451675415039
1743548510.5832472,7251968,-103.5091552734375
1743548519.7030442,7272448,-106.12945556640625
1743548529.14519,7292928,-108.05628967285156
1743548538.605195,7313408,-105.27627563476562
1743548548.0391629,7333888,-100.85509490966797
1743548557.033932,7354368,-98.1839828491211
