V1,V2,V3,State,Next_State_1,Next_State_2,Next_State_3,Next_State_4,Prob_1,Prob_2,Prob_3,Prob_4
0.39,0.009,16,231,,,,,,,,
0.3,0.011,14,223,232,233,,,0.28,0.72,,
0.28,0.01,15,232,234,235,236,,0.23,0.32,0.44,
0.28,0.009,16,234,,,,,,,,
0.33,0.009,16,235,,,,,,,,
0.26,0.01,16,236,,,,,,,,
0.3,0.01,15,233,236,237,238,,0.22,0.39,0.39,
0.26,0.01,16,236,,,,,,,,
0.3,0.009,16,237,,,,,,,,
0.27,0.009,16,238,,,,,,,,
0.4,0.013,13,220,74,239,240,,0.37,0.48,0.14,
0.44,0.015,14,74,46,191,45,,0.63,0.07,0.3,
0.44,0.016,15,46,89,74,,,0.15,0.85,,
0.41,0.019,16,89,,,,,,,,
0.44,0.015,16,74,,,,,,,,
0.41,0.017,15,191,241,34,,,0.83,0.17,,
0.45,0.015,16,241,,,,,,,,
0.41,0.016,16,34,,,,,,,,
0.45,0.017,15,45,181,,,,1.0,,,
0.47,0.019,16,181,,,,,,,,
0.37,0.013,14,239,56,230,,,0.82,0.18,,
0.33,0.014,15,56,214,242,,,0.68,0.32,,
0.31,0.014,16,214,,,,,,,,
0.32,0.012,16,242,,,,,,,,
0.36,0.011,15,230,243,218,244,,0.44,0.25,0.31,
0.35,0.011,16,243,,,,,,,,
0.34,0.012,16,218,,,,,,,,
0.42,0.012,16,244,,,,,,,,
0.45,0.011,14,240,115,,,,1.0,,,
0.46,0.012,15,115,245,246,247,,0.3,0.22,0.49,
0.43,0.013,16,245,,,,,,,,
0.48,0.013,16,246,,,,,,,,
0.49,0.013,16,247,,,,,,,,
0.34,0.011,11,217,217,,,,1.0,,,
0.34,0.011,12,217,228,,,,1.0,,,
0.37,0.01,13,228,217,,,,1.0,,,
0.34,0.011,14,217,222,,,,1.0,,,
0.38,0.011,15,222,243,,,,1.0,,,
0.35,0.011,16,243,,,,,,,,
0.3,0.015,10,216,58,248,,,0.32,0.68,,
0.32,0.016,11,58,79,249,60,,0.2,0.51,0.28,
0.36,0.014,12,79,250,251,,,0.51,0.49,,
0.4,0.015,13,250,252,,,,1.0,,,
0.41,0.013,14,252,94,,,,1.0,,,
0.47,0.013,15,94,253,120,,,0.2,0.8,,
0.5,0.014,16,253,,,,,,,,
0.51,0.015,16,120,,,,,,,,
0.33,0.015,13,251,106,,,,1.0,,,
0.4,0.014,14,106,220,254,85,,0.3,0.2,0.5,
0.4,0.013,15,220,73,255,,,0.61,0.39,,
0.35,0.015,16,73,,,,,,,,
0.44,0.012,16,255,,,,,,,,
0.43,0.015,15,254,202,220,,,0.47,0.53,,
0.46,0.015,16,202,,,,,,,,
0.4,0.013,16,220,,,,,,,,
0.37,0.016,15,85,256,,,,1.0,,,
0.36,0.017,16,256,,,,,,,,
0.29,0.014,12,249,215,257,258,,0.43,0.32,0.26,
0.32,0.013,13,215,249,215,243,,0.33,0.3,0.38,
0.29,0.014,14,249,251,,,,1.0,,,
0.33,0.015,15,251,42,108,,,0.89,0.11,,
0.39,0.015,16,42,,,,,,,,
0.39,0.016,16,108,,,,,,,,
0.32,0.013,14,215,259,218,260,,0.47,0.16,0.37,
0.29,0.011,15,259,261,262,,,0.99,0.01,,
0.32,0.011,16,261,,,,,,,,
0.31,0.01,16,262,,,,,,,,
0.34,0.012,15,218,263,,,,1.0,,,
0.4,0.012,16,263,,,,,,,,
0.34,0.013,15,260,264,,,,1.0,,,
0.35,0.014,16,264,,,,,,,,
0.35,0.011,14,243,242,,,,1.0,,,
0.32,0.012,15,242,265,,,,1.0,,,
0.37,0.012,16,265,,,,,,,,
0.3,0.012,13,257,266,267,268,,0.26,0.48,0.26,
0.27,0.013,14,266,269,,,,1.0,,,
0.28,0.012,15,269,269,261,270,,0.02,0.55,0.43,
0.28,0.012,16,269,,,,,,,,
0.32,0.011,16,261,,,,,,,,
0.25,0.011,16,270,,,,,,,,
0.34,0.01,14,267,271,,,,1.0,,,
0.35,0.009,15,271,272,,,,1.0,,,
0.38,0.008,16,272,,,,,,,,
0.28,0.013,14,268,273,274,273,,0.31,0.48,0.22,
0.26,0.012,15,273,257,275,,,0.79,0.21,,
0.3,0.012,16,257,,,,,,,,
0.25,0.01,16,275,,,,,,,,
0.31,0.013,15,274,269,,,,1.0,,,
0.28,0.012,16,269,,,,,,,,
0.26,0.012,15,273,276,277,,,0.8,0.2,,
0.24,0.012,16,276,,,,,,,,
0.24,0.01,16,277,,,,,,,,
0.35,0.013,13,258,79,,,,1.0,,,
0.36,0.014,14,79,254,278,,,0.42,0.58,,
0.43,0.015,15,254,74,279,280,,0.26,0.39,0.34,
0.44,0.015,16,74,,,,,,,,
0.48,0.017,16,279,,,,,,,,
0.38,0.015,16,280,,,,,,,,
0.38,0.013,15,278,265,281,107,,0.07,0.53,0.4,
0.37,0.012,16,265,,,,,,,,
0.39,0.012,16,281,,,,,,,,
0.45,0.014,16,107,,,,,,,,
0.33,0.017,12,60,108,,,,1.0,,,
0.39,0.016,13,108,82,,,,1.0,,,
0.39,0.017,14,82,205,110,,,0.52,0.48,,
0.46,0.017,15,205,74,201,,,0.5,0.5,,
0.44,0.015,16,74,,,,,,,,
0.49,0.016,16,201,,,,,,,,
0.45,0.016,15,110,129,95,201,,0.11,0.3,0.59,
0.42,0.019,16,129,,,,,,,,
0.46,0.014,16,95,,,,,,,,
0.49,0.016,16,201,,,,,,,,
0.28,0.015,11,248,216,282,,,0.81,0.19,,
0.3,0.015,12,216,283,214,284,,0.17,0.69,0.13,
0.28,0.014,13,283,273,249,274,,0.58,0.21,0.2,
0.26,0.012,14,273,285,273,286,,0.19,0.69,0.12,
0.31,0.011,15,285,287,288,,,0.6,0.4,,
0.29,0.012,16,287,,,,,,,,
0.33,0.012,16,288,,,,,,,,
0.26,0.012,15,273,289,,,,1.0,,,
0.27,0.012,16,289,,,,,,,,
0.28,0.011,15,286,235,,,,1.0,,,
0.33,0.009,16,235,,,,,,,,
0.29,0.014,14,249,56,249,290,,0.16,0.34,0.5,
0.33,0.014,15,56,216,,,,1.0,,,
0.3,0.015,16,216,,,,,,,,
0.29,0.014,15,249,291,273,273,,0.52,0.43,0.05,
0.32,0.015,16,291,,,,,,,,
0.26,0.012,16,273,,,,,,,,
0.26,0.012,16,273,,,,,,,,
0.26,0.013,15,290,292,266,293,,0.54,0.28,0.18,
0.3,0.013,16,292,,,,,,,,
0.27,0.013,16,266,,,,,,,,
0.23,0.012,16,293,,,,,,,,
0.31,0.013,14,274,294,,,,1.0,,,
0.33,0.013,15,294,295,59,,,0.72,0.28,,
0.39,0.014,16,295,,,,,,,,
0.38,0.014,16,59,,,,,,,,
0.31,0.014,13,214,291,269,248,,0.41,0.3,0.3,
0.32,0.015,14,291,92,296,297,,0.03,0.25,0.72,
0.36,0.015,15,92,34,251,38,,0.37,0.14,0.48,
0.41,0.016,16,34,,,,,,,,
0.33,0.015,16,251,,,,,,,,
0.35,0.017,16,38,,,,,,,,
